Date,RF,RM_RF,SMB,MOM,SMALL LoPRIOR_RF,ME1_PRIOR2_RF,SMALL_HiPRIOR_RF,BIG_LoPRIOR_RF,ME2_PRIOR2_RF,BIG_HiPRIOR_RF,25_SMALL LoPRIOR_RF,25_ME1 PRIOR2_RF,25_ME1 PRIOR3_RF,25_ME1 PRIOR4_RF,25_SMALL HiPRIOR_RF,25_ME2 PRIOR1_RF,25_ME2 PRIOR2_RF,25_ME2 PRIOR3_RF,25_ME2 PRIOR4_RF,25_ME2 PRIOR5_RF,25_ME3 PRIOR1_RF,25_ME3 PRIOR2_RF,25_ME3 PRIOR3_RF,25_ME3 PRIOR4_RF,25_ME3 PRIOR5_RF,25_ME4 PRIOR1_RF,25_ME4 PRIOR2_RF,25_ME4 PRIOR3_RF,25_ME4 PRIOR4_RF,25_ME4 PRIOR5_RF,25_BIG LoPRIOR_RF,25_ME5 PRIOR2_RF,25_ME5 PRIOR3_RF,25_ME5 PRIOR4_RF,25_BIG HiPRIOR_RF
200507,0.24,3.901600153256168,6.672913240440894,4.73,6.93,6.1,6.18,3.6799999999999997,3.1900000000000004,4.49,8.43,5.97,6.03,6.75,7.15,7.76,6.06,6.27,6.04,7.86,5.95,5.88,5.05,4.75,5.56,6.39,5.3,4.44,4.86,6.1,4.05,3.43,3.11,2.99,5.46
200508,0.3,-1.182208168813696,-1.654534261874506,1.28,-2.32,-2.44,-1.05,-1.8900000000000001,-1.47,0.98,-1.59,-0.86,-1.99,-1.4,-0.25,-1.51,-3.12,-2.02,-0.78,-1.29,-2.18,-0.71,-2.36,-0.12,-0.48,-1.78,-1.03,-0.94,-0.52,-0.51,-3.49,-0.47,-1.5,0.15,2.54
200509,0.29,0.5139618465707176,0.37807404546669476,3.47,-1.42,0.06,1.46,-0.8599999999999999,0.5700000000000001,3.18,-0.36,-0.72,0.67,-0.03,2.08,-0.84,-0.77,0.75,-0.02,2.46,-1.79,-0.17,1.1,0.44,3.1,-0.46,0.76,0.39,2.07,1.48,-1.01,-0.55,2.23,1.61,4.61
200510,0.27,-1.9720828163285566,-3.116265958688608,-3.03,-3.97,-2.86,-3.36,-0.31,-2.26,-3.3,-3.72,-1.92,-3.09,-2.13,-3.28,-4.42,-1.83,-1.33,-3.38,-3.48,-3.29,-0.36,-3.22,-2.46,-3.86,-3.52,-1.62,-1.85,-2.0,-6.45,0.75,-0.16,-1.21,-4.14,-2.76
200511,0.31,3.5873571961090236,4.634702239775273,3.85,4.470000000000001,3.77,4.8100000000000005,3.1999999999999997,3.7499999999999996,3.54,4.32,3.71,3.98,3.39,5.62,6.48,4.28,3.47,4.51,5.03,6.65,4.34,6.41,4.82,5.29,5.86,4.3,5.1,5.19,2.82,3.06,4.0,3.46,4.43,2.88
200512,0.32,-0.2556606696376437,-0.1338245260152702,1.06,-0.43,-0.61,-0.31,-0.7,-0.53,0.74,0.48,-0.66,0.66,0.52,0.79,-0.24,-1.37,-0.17,-0.02,-0.03,0.54,-0.53,-0.26,0.39,-0.36,-0.25,0.41,0.65,0.91,2.45,1.06,-1.08,-0.39,0.18,1.67
200601,0.35,2.9845976835140173,8.46973833092941,5.56,8.16,5.890000000000001,10.48,2.48,1.0299999999999998,5.21,8.94,7.82,6.69,7.6,11.86,7.47,7.68,5.84,8.4,13.49,6.8,5.72,4.22,6.71,9.5,3.02,3.0,3.03,3.66,7.98,4.68,-0.63,1.74,2.36,6.89
200602,0.34,-0.2765358460148248,-0.2547839194034503,-1.96,-0.76,0.51,-1.49,0.53,0.53,-2.3,-0.08,0.1,1.04,2.2,-0.82,-1.4,0.44,1.76,0.54,-2.17,-0.52,1.11,0.29,-0.95,-1.25,0.9,0.72,0.47,1.18,-2.38,0.41,0.91,0.81,0.87,-3.53
200603,0.37,1.4424837747111052,4.256555425420792,2.66,2.84,3.6799999999999997,4.91,1.85,0.18000000000000005,2.29,3.86,3.99,4.96,5.37,5.79,4.13,2.27,4.52,5.31,5.7,2.35,1.76,2.25,4.23,6.4,1.91,1.75,1.45,2.68,4.77,1.46,1.61,0.36,0.76,2.32
200604,0.36,0.725309262275824,0.22069558509608228,1.14,-0.61,-0.42,0.43000000000000005,0.62,0.9400000000000001,0.7799999999999999,0.14,-0.74,-0.68,-0.4,-0.02,-1.16,0.54,-1.12,1.92,0.31,0.59,0.23,0.8,-0.07,1.32,-0.19,1.59,-0.14,2.39,2.04,0.43,1.55,1.63,0.75,0.94
200605,0.43,-3.542316446710775,-5.28573083888468,-5.57,-4.59,-4.52,-7.359999999999999,-1.44,-3.45,-6.0,-4.88,-4.0,-3.66,-4.85,-8.15,-3.05,-4.13,-4.01,-5.15,-7.14,-3.52,-2.52,-2.77,-4.21,-8.02,-1.77,-3.34,-2.76,-2.92,-7.28,-1.22,-1.39,-3.14,-4.24,-5.86
200606,0.4,-0.34153264790068777,-0.7791407156213495,0.7,-2.69,-0.2,-0.9600000000000001,-1.07,0.019999999999999962,0.29999999999999993,-1.9,-0.65,0.52,0.33,-1.72,-3.65,-1.45,0.54,0.08,-1.23,-2.01,-0.32,-0.08,-0.06,1.92,-1.95,-1.44,0.44,-0.01,0.13,-0.17,-0.1,0.42,0.58,0.71
200607,0.4,-0.7118201775955021,-3.7252961127290165,-2.48,-4.12,-2.7399999999999998,-5.41,-0.08000000000000002,0.58,-2.88,-5.23,-2.69,-1.3,-2.32,-4.46,-3.5,-1.93,-2.3,-4.06,-5.99,-3.77,-1.73,-2.7,-2.31,-6.74,-5.6,-1.11,-1.86,-2.72,-6.23,1.88,-0.74,2.89,0.61,-3.48
200608,0.42,2.023527131167366,2.879696903060677,0.31,4.0600000000000005,2.25,1.2000000000000002,3.75,2.2800000000000002,-0.10999999999999999,4.42,2.03,2.33,3.12,1.9,5.62,4.38,1.89,2.25,1.81,5.0,3.27,2.39,1.9,0.07,4.79,4.08,2.28,2.17,-0.81,3.56,4.11,2.81,1.51,-0.54
200609,0.41,1.8359209635938247,1.0946603559484054,2.11,1.25,0.56,0.25000000000000006,2.6599999999999997,1.89,1.7,0.95,1.3,0.65,1.64,0.18,2.52,1.59,0.51,0.46,0.54,2.26,1.02,0.79,-0.1,0.84,3.37,2.56,1.89,0.88,2.32,1.9,3.47,2.61,1.88,2.65
200610,0.41,3.157849547977161,5.5974217848143235,4.19,5.8,4.7299999999999995,5.08,3.57,2.31,3.7800000000000002,6.48,5.56,5.08,5.67,6.18,6.08,7.05,6.0,4.46,4.72,6.29,5.67,3.76,3.05,6.49,3.38,3.64,3.17,3.1,4.13,4.77,3.54,3.26,2.81,3.28
200611,0.42,1.638986363548506,2.766924550223254,2.32,3.3000000000000003,1.77,1.9700000000000002,2.64,1.06,1.9,2.63,1.86,1.75,1.8,2.4,4.44,4.83,1.7,3.04,1.23,5.81,3.82,2.42,3.39,2.2,7.34,4.07,2.4,2.74,3.42,2.17,1.43,0.76,1.98,2.64
200612,0.4,0.8282275122842545,0.5809026080370736,1.04,-0.19000000000000003,0.43999999999999995,0.2899999999999999,-0.46,1.4899999999999998,0.64,0.72,0.85,1.6,1.66,2.32,-0.3,0.49,0.14,1.15,-0.38,-0.07,-0.01,0.26,0.79,0.46,-1.01,0.2,0.63,0.1,0.68,-0.63,1.84,2.94,0.94,1.15
200701,0.44,1.3752687248576054,1.7082817321313635,2.27,1.5899999999999999,0.5900000000000001,1.6600000000000001,1.55,1.1,1.83,0.86,0.7,1.78,1.25,1.48,1.4,2.26,1.38,0.36,2.76,5.63,1.7,3.29,2.41,3.86,2.91,3.26,1.98,4.01,2.33,2.48,0.05,1.83,1.98,1.89
200702,0.38,-1.9865563869927345,-0.37414643199130404,-2.62,-0.44,-0.8400000000000001,-1.03,-1.0,-1.83,-3.0,0.57,-0.64,-0.38,-0.78,-1.37,-0.5,-0.8,0.45,-0.78,-1.47,0.01,0.66,-0.32,0.52,1.28,0.97,0.03,-0.09,0.63,0.34,0.83,-1.36,-1.97,-2.72,-3.08
200703,0.43,0.7000141118416288,0.9400869154753169,2.9,-0.39,0.8200000000000001,1.4200000000000002,-0.86,-0.010000000000000009,2.4699999999999998,-0.97,0.12,0.78,0.24,2.29,0.35,1.41,1.83,1.7,0.91,0.09,0.3,1.1,2.47,3.75,-2.03,0.75,2.24,2.22,2.78,-0.88,0.34,-0.27,1.95,3.48
200704,0.44,3.5425148093305348,2.0160240147474484,3.88,1.51,1.08,2.4,4.6499999999999995,3.72,3.44,1.15,0.53,0.24,1.1,2.18,3.25,1.74,2.16,2.52,3.47,3.17,2.73,3.08,2.75,3.98,5.42,4.68,4.43,3.86,3.64,4.98,4.38,4.95,3.73,3.13
200705,0.41,3.1876740168053592,3.8611546366625884,4.04,3.6799999999999997,3.88,2.5,3.11,2.88,3.63,3.21,2.71,2.42,3.17,2.22,4.27,4.38,3.44,2.61,2.6,5.39,6.06,6.24,3.98,3.99,4.65,4.15,3.63,3.87,3.86,3.02,3.36,3.2,3.65,3.93
200706,0.4,-1.9817470757393476,-1.202879773174611,-1.49,-2.18,-1.2000000000000002,-1.22,-1.96,-2.13,-1.8900000000000001,-0.64,-0.35,-0.61,-0.25,-0.93,-3.47,-1.08,-1.91,-0.28,-1.27,-2.25,-1.0,-0.31,-0.19,0.18,-3.01,-0.81,-1.3,-2.71,-1.76,-3.22,-1.03,-1.72,-1.46,-1.9
200707,0.4,-3.70492538372746,-6.102704426539968,-1.48,-8.03,-5.57,-5.3500000000000005,-4.880000000000001,-3.8,-1.88,-7.86,-7.2,-6.54,-4.95,-5.85,-8.15,-5.86,-5.26,-3.98,-6.3,-6.82,-5.11,-4.4,-3.9,-3.99,-6.19,-6.35,-3.63,-4.0,-3.4,-2.59,-4.0,-2.75,-2.52,-1.15
200708,0.42,1.031759206908403,1.2522496846812405,2.2,0.9400000000000002,0.9400000000000002,0.5900000000000001,1.49,0.6300000000000001,1.7800000000000002,0.11,0.06,0.31,-0.68,-0.37,2.39,3.01,2.25,0.86,3.13,-0.64,-1.08,1.2,0.12,0.42,-0.81,0.15,0.51,0.75,-0.41,2.62,1.75,0.83,2.18,3.43
200709,0.32,3.2297687508568136,1.2096735750490464,6.21,-0.5800000000000001,0.06,3.6100000000000003,1.22,2.8200000000000003,5.89,-1.11,-0.43,-0.01,1.03,4.8,-0.14,0.08,1.18,1.62,5.19,-0.13,0.47,1.58,1.36,4.97,0.76,1.93,2.48,1.75,3.92,2.57,1.61,3.35,5.83,7.09
200710,0.32,1.7784153765012232,1.6599730220405793,3.86,-1.19,1.95,3.62,-1.71,2.14,3.54,-2.48,0.21,0.77,3.22,5.01,-0.73,0.34,2.99,4.0,2.23,-3.6,2.99,2.14,2.38,5.64,-3.18,1.44,1.52,3.44,4.67,-0.09,-1.4,3.06,3.69,3.94
200711,0.34,-4.752822416036403,-7.543682122776659,-4.37,-8.61,-6.8999999999999995,-8.13,-6.46,-3.75,-4.71,-10.16,-7.8,-7.16,-9.35,-9.35,-8.84,-5.95,-5.35,-7.65,-8.43,-8.17,-3.48,-6.88,-6.42,-5.94,-13.37,-4.78,-4.41,-3.43,-5.36,-9.09,-3.85,-3.75,-2.71,-5.27
200712,0.27,-0.8863833074780924,-0.7931734771603165,2.23,-2.71,-1.08,0.76,-7.68,-1.71,1.96,-1.92,-1.95,-0.95,0.48,2.26,-2.64,-1.97,0.01,0.55,1.47,-4.68,-2.57,-2.14,-0.25,1.2,-7.22,-2.81,-1.1,0.98,1.12,-10.53,-5.83,-1.75,1.43,2.42
200801,0.21,-6.263847503609564,-6.476601108181259,-9.2,-3.25,-6.57,-10.82,-1.49,-4.01,-9.41,-2.65,-5.54,-6.2,-8.83,-13.16,-1.88,-4.87,-5.41,-8.59,-12.61,2.14,-3.58,-3.4,-6.97,-9.36,1.84,-1.51,-5.77,-6.07,-9.71,-0.31,-0.5,-3.04,-6.8,-10.99
200802,0.13,-3.099282410677623,-3.9575034164740948,-0.8,-6.12,-3.6399999999999997,-2.52,-9.600000000000001,-3.6999999999999997,-0.93,-6.27,-4.44,-1.83,-0.76,-2.35,-7.82,-4.9,-3.17,-1.51,-1.92,-11.56,-3.67,-2.62,-1.0,-1.47,-10.16,-5.96,-3.37,0.41,2.8,-9.02,-9.2,-1.86,-3.53,0.42
200803,0.17,-0.8717273647413406,-0.6624644822490675,0.19,-2.69,1.26,-1.14,-6.93,-0.7200000000000001,0.01999999999999999,-2.04,-0.68,1.2,0.39,-2.59,-4.56,0.59,2.65,0.75,-0.88,-4.24,-1.72,-1.56,0.27,-0.01,-10.22,0.65,-0.41,-3.26,-1.65,-9.19,-3.0,-2.37,1.9,-0.31
200804,0.18,4.545428439947891,3.268420414286201,6.37,2.61,2.67,4.33,8.57,2.1799999999999997,6.19,2.04,1.44,2.03,0.77,1.95,4.35,3.56,1.36,2.36,4.82,2.81,7.74,4.73,6.52,5.93,5.42,4.4,4.33,5.6,9.34,12.12,5.39,2.48,2.59,7.19
200805,0.18,1.7784089817716622,4.256511033274451,2.89,3.75,3.79,4.78,-3.04,1.1600000000000001,2.71,3.27,2.95,4.13,2.92,4.31,4.82,4.66,4.83,3.45,6.26,2.54,5.2,2.9,4.08,6.59,4.73,3.73,4.6,3.94,7.71,-5.66,-2.17,0.09,1.99,2.73
200806,0.17,-8.481206710737233,-10.405076350564451,-4.35,-15.77,-10.0,-5.32,-19.5,-10.36,-4.52,-14.98,-11.99,-10.11,-7.39,-4.4,-18.08,-11.92,-9.69,-8.3,-3.83,-15.48,-13.84,-9.63,-9.36,-0.42,-18.43,-13.9,-9.66,-6.66,-1.53,-21.78,-14.66,-9.91,-8.18,-3.47
200807,0.15,-0.6796368036057937,3.700458030802187,-3.59,4.739999999999999,3.83,1.8,3.36,1.4400000000000002,-3.7399999999999998,4.66,6.83,4.83,6.18,2.77,7.54,4.32,4.06,4.48,2.37,1.51,-0.8,3.94,2.96,-1.44,-1.67,-1.69,2.97,-1.63,-6.68,-1.41,7.46,2.81,-0.32,-6.29
200808,0.13,1.5114310407969094,4.3906946130710205,-0.03,7.39,4.47,0.5,1.92,2.5500000000000003,-0.16,4.04,3.46,3.04,2.92,1.74,10.41,7.75,5.38,4.33,-0.55,13.81,4.24,4.46,3.14,-0.54,-0.28,6.1,3.73,1.86,-2.44,-2.57,3.19,2.42,1.57,-0.43
200809,0.15,-9.25916947215922,-8.629805548958519,-11.44,-9.97,-6.720000000000001,-10.08,-13.41,-6.33,-11.59,-10.7,-6.42,-7.37,-6.43,-11.12,-10.54,-5.79,-5.63,-5.24,-11.22,-10.32,-10.5,-8.55,-7.84,-14.96,-22.5,-13.63,-9.24,-9.77,-16.49,-24.91,-7.86,-6.04,-4.32,-13.05
200810,0.08,-17.20420656280211,-21.64417594744243,-14.7,-25.669999999999998,-20.88,-19.02,-23.869999999999997,-15.72,-14.78,-26.81,-23.64,-20.24,-17.94,-18.63,-27.59,-23.9,-20.16,-17.02,-21.89,-20.91,-23.09,-22.01,-17.57,-20.06,-25.81,-21.78,-20.3,-19.34,-21.45,-25.45,-20.6,-14.47,-13.9,-13.42
200811,0.03,-7.746575521241955,-13.358115550866385,-7.25,-17.12,-13.66,-9.819999999999999,-14.54,-4.63,-7.28,-19.42,-17.94,-14.51,-12.36,-12.41,-15.42,-14.73,-11.96,-12.8,-8.83,-16.34,-12.21,-13.2,-9.47,-7.89,-18.35,-10.21,-8.72,-2.82,-11.66,-19.47,-8.08,-7.74,-2.0,-7.84
200812,0.0,1.7372337043186663,6.158271237778945,-0.15,9.59,5.26,4.52,4.95,2.26,-0.15,4.59,6.38,2.67,3.65,3.75,11.17,10.49,4.62,5.3,4.2,6.78,6.03,6.92,3.59,2.82,14.5,6.56,5.96,2.76,1.07,3.62,2.85,1.0,0.25,0.3
200901,0.0,-8.093077815337704,-10.143666246843308,-7.86,-7.79,-9.81,-12.14,-7.48,-8.1,-7.86,-4.85,-10.75,-11.01,-8.44,-11.23,-9.17,-10.6,-7.87,-10.55,-12.86,-2.7,-6.38,-8.21,-9.3,-11.13,-10.02,-6.63,-8.07,-7.09,-5.65,-10.83,-7.4,-10.55,-6.79,-7.87
200902,0.01,-10.235209401455213,-13.013679393788316,-9.31,-16.1,-12.24,-11.95,-13.879999999999999,-10.18,-9.32,-17.98,-14.45,-13.11,-8.71,-12.85,-17.64,-10.95,-11.49,-10.95,-12.04,-17.46,-8.48,-11.21,-12.01,-11.04,-20.92,-11.19,-6.48,-10.06,-8.05,-18.94,-15.8,-8.64,-9.45,-9.38
200903,0.02,9.046042856267885,11.476956288933291,6.01,18.57,11.360000000000001,7.62,18.7,10.66,5.99,22.51,9.8,8.58,6.81,7.47,22.01,14.33,13.56,9.85,7.31,18.13,13.06,12.67,7.74,5.6,11.92,13.84,10.52,10.08,5.33,31.77,13.23,11.47,9.18,4.43
200904,0.01,10.1740596960753,22.500028352307847,2.38,46.42,22.419999999999998,8.85,33.49,13.91,2.37,47.24,27.94,17.2,12.59,8.38,57.99,34.56,19.07,16.62,8.99,42.86,27.57,23.25,16.37,6.77,49.75,27.99,17.12,10.64,1.63,30.79,23.76,17.3,6.47,1.21
200905,0.0,5.187980115989114,5.414948388496665,2.99,15.04,3.53,1.33,14.35,5.92,2.99,20.81,8.81,5.97,7.94,7.78,17.39,4.14,3.85,1.18,-0.31,16.95,8.28,3.22,1.02,-0.13,21.0,10.66,5.39,1.35,-0.53,17.11,11.37,8.87,3.55,2.05
200906,0.01,0.4072257541341137,2.2189143104032305,1.44,-0.37,3.02,3.04,-6.05,0.6799999999999999,1.43,4.54,5.27,3.1,4.75,5.83,-5.5,2.2,1.78,4.68,2.57,-2.78,-2.94,1.09,2.12,1.56,-3.34,-2.19,-1.23,1.7,2.45,-3.7,-4.9,0.76,1.16,2.25
200907,0.01,7.741584662600824,10.289446062643304,6.15,14.3,10.17,8.02,10.950000000000001,7.86,6.140000000000001,12.35,13.37,9.61,7.66,7.93,18.35,11.44,11.2,7.49,7.22,14.78,13.84,8.84,9.22,7.61,11.41,10.04,10.85,6.88,5.75,11.83,10.48,7.74,6.37,6.24
200908,0.01,3.341631393019499,4.032795821564272,1.94,11.31,3.5900000000000003,-0.31,8.51,3.39,1.93,17.82,5.19,3.65,-0.72,-0.01,16.38,4.16,3.13,0.39,0.03,16.44,5.09,3.17,1.8,0.93,13.14,5.94,4.2,2.2,2.13,10.72,4.77,3.15,2.38,1.66
200909,0.01,4.071808129469558,6.719696238866485,3.22,10.790000000000001,5.640000000000001,4.84,7.0,3.5700000000000003,3.2100000000000004,11.54,6.66,6.46,5.2,4.1,13.37,7.69,4.19,5.23,5.64,12.03,7.92,6.79,5.36,4.6,13.45,7.73,4.27,4.52,4.72,7.15,4.12,4.51,2.44,3.4
200910,0.0,-2.509785467474231,-7.247494333517196,-1.39,-7.87,-5.66,-8.37,-6.89,-1.13,-1.39,-9.33,-6.38,-6.67,-5.82,-10.07,-7.79,-6.02,-6.87,-5.01,-8.46,-11.13,-3.81,-3.82,-6.74,-7.77,-9.59,-2.78,-2.99,-3.8,-4.69,-9.27,-1.65,-0.98,-0.78,-0.33
200911,0.0,5.640245178636499,2.5609190798165877,5.87,2.14,2.17,3.34,6.29,5.7,5.87,-0.23,0.49,2.26,1.58,2.79,2.96,2.14,2.57,1.0,4.01,2.58,3.41,3.72,5.33,5.43,5.73,5.01,4.11,3.23,5.1,7.37,6.16,5.62,5.47,6.79
200912,0.01,2.7811656754751306,8.448271954647833,4.5,8.52,7.3,9.540000000000001,-0.48,3.58,4.49,8.34,7.1,6.69,8.39,7.99,7.17,9.38,7.76,10.13,10.74,9.22,5.92,7.14,7.91,8.27,5.3,3.83,5.45,6.19,8.56,-2.75,1.91,3.41,3.27,3.4
201001,0.0,-3.279929413294815,-2.8392026906524475,-7.09,-0.7,-3.48,-4.49,-0.22,-3.29,-7.09,-0.92,-4.04,-1.04,-2.69,-3.61,0.93,-3.4,-2.71,-3.49,-4.64,-1.49,-1.6,-3.49,-4.81,-5.07,-0.36,-1.96,-2.06,-4.61,-5.33,-0.62,-0.9,-3.29,-5.9,-8.71
201002,0.0,3.389581586263005,4.5479524171882195,5.41,3.06,4.12,6.57,1.54,3.55,5.41,2.35,3.77,3.29,5.31,8.03,2.76,3.68,4.77,3.71,6.09,3.45,3.13,4.85,5.09,7.59,2.23,3.59,6.06,5.37,8.98,1.19,1.37,3.59,4.69,5.88
201003,0.01,6.297520162190904,8.3737295837587,10.54,8.31,7.55,9.36,4.44,5.8500000000000005,10.53,7.95,7.19,10.18,7.4,9.2,9.01,6.81,7.84,8.83,10.5,9.04,7.41,7.26,7.74,8.83,6.55,4.64,8.09,7.39,8.69,4.02,4.49,4.74,10.64,9.81
201004,0.01,2.0019837250468084,6.603401603816575,4.89,5.78,5.88,8.26,1.03,0.85,4.88,7.82,7.52,6.4,7.38,12.41,5.48,4.28,5.24,6.15,8.46,3.76,4.11,4.12,7.2,4.7,3.37,3.79,4.17,4.58,5.42,-0.46,0.48,0.84,4.27,2.82
201005,0.01,-7.897169248474186,-7.61287539848094,-8.2,-7.97,-6.8999999999999995,-7.9399999999999995,-7.779999999999999,-7.89,-8.209999999999999,-9.17,-6.35,-7.94,-8.24,-8.95,-8.08,-6.77,-5.4,-7.84,-7.37,-7.76,-7.26,-7.17,-6.71,-9.96,-7.37,-7.42,-5.77,-8.06,-8.0,-7.78,-6.74,-8.82,-8.34,-7.85
201006,0.01,-5.55208114757326,-8.141414883790585,-6.75,-7.529999999999999,-6.609999999999999,-10.37,-4.2,-5.67,-6.76,-7.39,-5.98,-6.39,-9.28,-10.22,-8.52,-6.27,-6.81,-7.67,-10.76,-5.39,-6.66,-6.17,-7.33,-10.56,-6.24,-5.91,-4.67,-7.11,-8.44,-4.31,-3.07,-7.32,-6.83,-6.39
201007,0.01,6.948508298539755,6.99301370470752,8.0,5.970000000000001,6.36,8.84,7.29,6.45,7.99,5.81,6.42,6.57,5.66,6.99,5.93,6.73,5.72,6.72,10.08,4.71,7.03,7.44,6.6,8.98,5.88,5.95,6.68,8.66,9.39,7.58,6.34,5.74,9.01,7.68
201008,0.01,-4.755171108324115,-7.457658114378041,-4.67,-7.8,-7.5,-7.13,-4.08,-4.67,-4.68,-8.61,-8.67,-8.74,-8.17,-9.8,-8.58,-5.9,-8.17,-6.48,-5.76,-7.86,-6.05,-5.35,-5.86,-7.46,-4.84,-6.27,-4.25,-3.41,-5.45,-3.16,-5.21,-4.05,-3.46,-5.4
201009,0.01,9.544458954296932,12.937782042080498,11.54,13.3,12.17,13.33,8.8,8.57,11.53,11.79,11.3,11.59,12.71,14.34,13.62,13.88,12.29,12.22,12.55,13.42,13.04,11.89,12.09,14.73,11.96,11.08,10.6,10.22,11.65,7.86,8.42,8.0,9.21,12.93
201010,0.01,3.8505756128096422,3.8271965416487754,4.25,3.5900000000000003,3.4800000000000004,4.41,2.14,4.25,4.24,4.53,4.74,3.73,7.43,5.39,3.63,3.95,2.42,4.56,3.79,1.67,3.49,4.32,4.02,3.56,2.27,1.63,3.63,4.26,4.18,2.99,4.32,4.11,2.53,5.78
201011,0.01,0.550656720052674,3.2394765196311974,2.74,2.25,2.64,4.57,-0.41000000000000003,-0.31,2.7300000000000004,0.82,3.88,4.02,4.27,5.32,1.87,4.14,0.82,4.48,4.61,0.51,2.56,3.88,1.85,6.65,0.89,1.66,3.12,2.72,3.61,-0.75,-1.18,-0.21,0.34,2.37
